IDX,GR,MAB,MORF,CAT
40001023015,εμμανουηλ,N168,Sust/Pro-Ind,Emmanuel (Emmanouel)
40001023016,ο,3193,Pro-Rel/N-Sn-Nt,la qual/el qual/el que/la que
40001023017,εστιν,1349,Verbo/Pre-Act-Ind-3-Sn,és / existeix / hi ha
40001023018,μεθερμηνευομενον,2792,Verbo/Pre-Pas-Par-NSN,sent traduït/(que significa)
40001023019,μεθ,2830,Prep,amb/després
40001023020,ημων,1320,Pro-Per/1-GA-Pl,(de) nosaltres/nostre
40001023022,θεος,2086,Sust/N-Sn-Ms,Déu
40001024001,διεγερθεις,1175,Verbo/A-Pas-Par-N-Sn-Ms,havent estat aixecat
40001024007,υπνου,4549,Sust/GA-Sn-Ms,(de) somni
40001024008,εποιησεν,3596,Verbo/A-Act-Ind-3-Sn,va fer/realitzar
40001024009,ως,4863,Adv,com
40001024010,προσεταξεν,3790,Verbo/A-Act-Ind-3-Sn,va disposar
40001024016,παρελαβεν,3329,Verbo/A2-Act-Ind-3-Sn,va prendre amb si
40001024018,γυναικα,998,Sust/Ac-Sn-Fn,dona
40001025002,ουκ,3211,Part-Neg,no
40001025003,εγινωσκεν,962,Verbo/I-Act-Ind-3-Sn,coneixia
40001025006,ου,3193,Pro-Rel/GA-Sn-Ms,(de) la qual/el qual/el que/la que
40001025007,ετεκεν,4404,Verbo/A2-Act-Ind-3-Sn,va donar a llum a
40001025012,πρωτοτοκον,3834,,primogènit
40001025014,εκαλεσεν,2262,Verbo/A-Act-Ind-3-Sn,va avisar
40002001004,γεννηθεντος,948,Verbo/A-Pas-Par-GA-Sn-Ms,havent estat nascut
40002001006,βηθλεεμ,N101,Sust/Pro-Ind,Betlem
40002001008,ιουδαιας,N243,Sust/GA-Sn-Fn,(de) Judea
40002001010,ημεραις,2034,Sust/LID-Pl-Fn,(en/amb/per a/a) dies
40002001011,ηρωδου,N204,Sust/GA-Sn-Ms,(d’) Herodes
40002001013,βασιλεως,833,Sust/GA-Sn-Ms,(de) rei
40002001015,μαγοι,2734,Sust/N-Pl-Ms,mags
40002001017,ανατολων,360,Sust/GA-Pl-Fn,(d') orient/llocs orientals
40002001018,παρεγενοντο,3305,Verbo/A2-MedDep-Ind-3-Pl,(es) van acostar
40002001019,εις,1357,Prep,en/en un/una/per/cap endins (contra)
40002001020,ιεροσολυμα,N232,Sust/Ac-Sn-Fn,Jerusalem
40002002001,λεγοντες,2663,Verbo/Pre-Act-Par-N-Pl-Ms,dient
40002002002,που,3654,Part-Int,on
40002002005,τεχθεις,4404,Verbo/A-Pas-Par-N-Sn-Ms,havent estat nascut
40002002007,των,3044,Art-Def/GA-Pl-Ms,(de) els/(les)
40002002008,ιουδαιων,N246,Adj/GA-Pl-Ms,(de) jueus?
40002002009,ειδομεν,3163,Verbo/A2-Act-Ind-1-Pl,vam veure
40002002013,αστερα,711,Sust/Ac-Sn-Ms,estrella
40002002015,τη,3044,Art-Def/LID-Sn-Fn,(en/amb/per a/a) la/(el)
40002002016,ανατολη,360,Sust/LID-Sn-Fn,(en/amb/per a/a) est
40002002018,ηλθομεν,1874,Verbo/A2-Act-Ind-1-Pl,venim
40002002019,προσκυνησαι,3775,Verbo/A-Act-Inf,fer reverència/(adorar)
40002003001,ακουσας,163,Verbo/A-Act-Par-N-Sn-Ms,havent sentit
40002003003,ηρωδης,N204,Sust/N-Sn-Ms,Herodes
40002003006,εταραχθη,4341,Verbo/A-Pas-Ind-3-Sn,va ser agitat/torbat
40002003008,πασα,3405,Adj/N-Sn-Fn,tota
40002003009,ιεροσολυμα,N232,Sust/N-Sn-Fn,Jerusalem
40002003010,μετ,2830,Prep,amb/després
40002004002,συναγαγων,4200,Verbo/A2-Act-Par-N-Sn-Ms,havent convocat/reunit
40002004003,παντας,3405,Adj/Ac-Pl-Ms,tots/(totes)
40002004005,αρχιερεις,676,Sust/Ac-Pl-Ms,caps o governants de sacerdots
40002004007,γραμματεις,985,Sust/Ac-Pl-Ms,escribes/lletrats
40002004009,λαου,2656,Sust/GA-Sn-Ms,(de) poble
40002004010,επυνθανετο,3859,Verbo/I-MedPasDep-Ind-3-Sn,preguntava
40002004011,παρ,3295,Prep,junt/al costat de/(amb)
40002004016,γενναται,948,Verbo/Pre-Pas-Sub-3-Sn,sigui nascut/estigui sent nascut
40002005001,οι,3044,Art-Def/N-Pl-Ms,els/(les)
40002005003,ειπον,2663,Verbo/A2-Act-Ind-3-Pl,van dir
40002005011,γεγραπται,988,Verbo/Per-Pas-Ind-3-Sn,escrit està/ha estat escrit
40002006002,συ,4107,Pro-Per/2-N-Sn,tu
40002006004,γη,958,Sust/V-Sn-Fn,terra
40002006005,ιουδα,N248,Sust/GA-Sn-Ms,(de) Judá
40002006006,ουδαμως,3214,,de cap manera
40002006007,ελαχιστη,1485,,més petit
40002006008,ει,1349,Verbo/Pre-Act-Ind-2-Sn,ets/estàs sent
40002006010,τοις,3044,Art-Def/LID-Pl-Ms,(en/amb/per a/a) els/(les)
40002006011,ηγεμοσιν,2020,Sust/LID-Pl-Ms,(en/amb/per a/a) conductors/dirigents
40002006016,εξελευσεται,1650,Verbo/F-MedDep-Ind-3-Sn,sortirà
40002006017,ηγουμενος,2021,Verbo/Pre-MedPasDep-Par-N-Sn-Ms,dirigint com a guia
40002006018,οστις,3201,Pro-Rel/N-Sn-Ms,qui
40002006019,ποιμανει,3601,Verbo/F-Act-Ind-3-Sn,pastorejarà
40002006022,μου,1320,Pro-Per/1-GA-Sn,(de) meu/meva
40002006024,ισραηλ,N255,Sust/Pro-Ind,Israel
40002007001,τοτε,4430,Adv,llavors
40002007004,καλεσας,2262,Verbo/A-Act-Par-N-Sn-Ms,havent clamat / anomenat / cridat
40002007006,μαγους,2734,Sust/Ac-Pl-Ms,mags
40002007007,ηκριβωσεν,169,Verbo/A-Act-Ind-3-Sn,va determinar amb (molta) cura
40002007011,χρονον,4804,Sust/Ac-Sn-Ms,temps/termini (ocasió)
40002007013,φαινομενου,4607,Verbo/Pre-MedPas-Par-GA-Sn-Ms,sent apareguda
40002007014,αστερος,711,Sust/GA-Sn-Ms,(d’) estrella
40002008002,πεμψας,3436,Verbo/A-Act-Par-N-Sn-Ms,havent enviat
40002008006,ειπεν,2663,Verbo/A2-Act-Ind-3-Sn,va dir
40002008007,πορευθεντες,3629,Verbo/A-PasDep-Par-N-Pl-Ms,havent anat en camí
40002008008,ακριβως,170,Adv,amb (molta) cura
40002008009,εξετασατε,1652,Verbo/A-Act-Imp-2-Pl,busqueu 
40002008010,περι,3454,Prep,al voltant de/(prop de)/(sobre)/(sobre)/(per)
40002008011,του,3044,Art-Def/GA-Sn-Nt,del/la/(el)
40002008012,παιδιου,3267,Sust/GA-Sn-Nt,(de) nen (petit)
40002008013,επαν,1694,Conj,quan
40002008015,ευρητε,1949,Verbo/A2-Act-Sub-2-Pl,trobeu
40002008016,απαγγειλατε,472,Verbo/A-Act-Imp-2-Pl,aviseu/doneu missatge/anuncieu
40002008017,μοι,1320,Pro-Per/1-LID-Sn,(en/amb/per a/a) mi
40002008018,οπως,3159,Adv,perquè
40002008019,καγω,2207,Pro-Per/1-N-S-Cont+kai,jo també
40002008020,ελθων,1874,Verbo/A2-Act-Par-N-Sn-Ms,venint/havent vingut
40002008021,προσκυνησω,3775,Verbo/A-Act-Sub-1-Sn,faci reverència/(adori)
40002009003,ακουσαντες,163,Verbo/A-Act-Par-N-Pl-Ms,havent sentit
40002009006,επορευθησαν,3629,Verbo/A-PasDep-Ind-3-Pl,van anar en camí
40002009010,αστηρ,711,Sust/N-Sn-Ms,estrella
40002009011,ον,3193,Pro-Rel/Ac-Sn-Ms,la qual/el qual/el que/la que
40002009012,ειδον,3163,Verbo/A2-Act-Ind-3-Pl,van veure/observar
40002009016,προηγεν,3678,Verbo/I-Act-Ind-3-Sn,anava davant (guiant)/estava guiant
40002009020,εστη,2197,Verbo/A2-Act-Ind-3-Sn,es va aturar
40002009021,επανω,1702,Adv,sobre/per sobre de/(a dalt)
40002009022,ου,3209,Adv,on
40002009025,παιδιον,3267,Sust/N-Sn-Nt,nen (petit)
40002010001,ιδοντες,3163,Verbo/A2-Act-Par-N-Pl-Ms,veient/havent vist
40002010005,εχαρησαν,4729,Verbo/A2-PasDep-Ind-3-Pl,es van alegrar
40002010006,χαραν,4742,Sust/Ac-Sn-Fn,alegria/(goig)
40002010007,μεγαλην,2789,Adj/Ac-Sn-Fn,gran
40002010008,σφοδρα,4299,Adv,vehement
40002011002,ελθοντες,1874,Verbo/A2-Act-Par-N-Pl-Ms,havent vingut
40002011005,οικιαν,3071,Sust/Ac-Sn-Fn,casa
40002011008,παιδιον,3267,Sust/Ac-Sn-Nt,nen (petit)
40002011013,αυτου,761,Pro-Per/GA-Sn-Nt,(d’) ell/ella/la seva/els seus
40002011015,πεσοντες,3538,Verbo/A2-Act-Par-N-Pl-Ms,havent caigut/postrat
40002011016,προσεκυνησαν,3775,Verbo/A-Act-Ind-3-Pl,van fer reverència/(van adorar)
40002011019,ανοιξαντες,415,Verbo/A-Act-Par-N-Pl-Ms,obrint/havent obert
40002011021,θησαυρους,2110,Sust/Ac-Pl-Ms,tresors
40002011023,προσηνεγκαν,3797,Verbo/A-Act-Ind-3-Pl,van portar cap a
40002011025,δωρα,1283,Sust/Ac-Pl-Nt,dons
40002011026,χρυσον,4810,Sust/Ac-Sn-Ms,or
40002011028,λιβανον,2686,Sust/Ac-Sn-Ms,olíban
40002011030,σμυρναν,4016,Sust/Ac-Sn-Fn,mirra
40002012002,χρηματισθεντες,4793,Verbo/A-Pas-Par-N-Pl-Ms,havent estat donat avís /(advertència divina)
40002012006,ανακαμψαι,310,Verbo/A-Act-Inf,tornar/tornar una altra vegada
40002012007,προς,3737,Prep,a/cap/per
40002012008,ηρωδην,N204,Sust/Ac-Sn-Ms,Herodes
40002012009,δι,1072,Prep,per/per mitjà/a través
40002012010,αλλης,211,Adj/GA-Sn-Fn,(d') un altre
40002012011,οδου,3055,Sust/GA-Sn-Fn,(de) camí
40002012012,ανεχωρησαν,367,Verbo/A-Act-Ind-3-Pl,es van retirar
40002012015,χωραν,4815,Sust/Ac-Sn-Fn,cora/país
40002013001,αναχωρησαντων,367,Verbo/A-Act-Par-GA-Pl-Ms,havent retirat
40002013007,φαινεται,4607,Verbo/Pre-MedPas-Ind-3-Sn,s'està apareixent
40002013013,εγερθεις,1298,Verbo/A-Pas-Par-N-Sn-Ms,havent estat aixecat
40002013014,παραλαβε,3329,Verbo/A2-Act-Imp-2-Sn,pren amb tu
40002013019,μητερα,2885,Sust/Ac-Sn-Fn,mare
40002013022,φευγε,4628,Verbo/Pre-Act-Imp-2-Sn,fuig/estàs fugint/escapant
40002013024,αιγυπτον,N22,Sust/Ac-Sn-Fn,Egipte
40002013026,ισθι,1349,Verbo/Pre-Act-Imp-2-Sn,sigues/estigues sent
40002013027,εκει,1401,Adv,allà
40002013029,αν,267,Part-Dis,en el cas que /si arriba el cas
40002013030,ειπω,2663,Verbo/A2-Act-Sub-1-Sn,digui
40002013031,σοι,4107,Pro-Per/2-LID-Sn,(en/amb/per a/a) tu/en el teu/(amb tu)
40002013032,μελλει,2803,Verbo/Pre-Act-Ind-3-Sn,està a punt de / està per
40002013035,ζητειν,2002,Verbo/Pre-Act-Inf,cercar/estar buscant
40002013039,απολεσαι,571,Verbo/A-Act-Inf,destruir/fer perir/fer perdre/(matar)
40002013040,αυτο,761,Pro-Per/Ac-Sn-Nt,ell/ella
40002014011,νυκτος,3028,Sust/GA-Sn-Fn,(de) nit
40002014013,ανεχωρησεν,367,Verbo/A-Act-Ind-3-Sn,es va retirar/se'n va anar
40002015006,τελευτης,4370,Sust/GA-Sn-Fn,(de) final/mort/conclusió
40002015020,αιγυπτου,N22,Sust/GA-Sn-Fn,(d') Egipte
40002015021,εκαλεσα,2262,Verbo/A-Act-Ind-1-Sn,vaig avisar
40002016003,ιδων,3163,Verbo/A2-Act-Par-N-Sn-Ms,veient/havent vist
40002016004,οτι,3207,Conj,que
40002016005,ενεπαιχθη,1523,Verbo/A-Pas-Ind-3-Sn,va ser burlat
40002016008,μαγων,2734,Sust/GA-Pl-Ms,(de) mags
40002016009,εθυμωθη,2138,Verbo/A-Pas-Ind-3-Sn,va ser enutjat
40002016010,λιαν,2685,Adv,molt/summament/massa
40002016012,αποστειλας,593,Verbo/A-Act-Par-N-Sn-Ms,havent enviat (amb apòstols/emissaris)
40002016013,ανειλεν,303,Verbo/A2-Act-Ind-3-Sn,va destruir/(matar)
40002016016,παιδας,3270,Sust/Ac-Pl-Ms,nens
40002016022,πασιν,3405,Adj/LID-Pl-Nt,(en/amb/per a/a) tots
40002016023,τοις,3044,Art-Def/LID-Pl-Nt,(en/amb/per a/a) els/les
40002016024,οριοις,3179,Sust/LID-Pl-Nt,(en/amb/per a/a) regions/territoris
40002016027,διετους,1182,Adj/GA-Sn-Ms,(de) dos anys
40002016029,κατωτερω,2427,Adv,cap avall
40002016030,κατα,2286,Prep,contra/segons/(cap avall)
40002016035,παρα,3295,Prep,junt/al costat de/(amb)
40002017002,επληρωθη,3573,Verbo/A-Pas-Ind-3-Sn,va ser complerta/completa
40002017006,ιερεμιου,N230,Sust/GA-Sn-Ms,(de) Jeremies
40002018001,φωνη,4722,Sust/N-Sn-Fn,so/(veu)/(soroll)
40002018003,ραμα,3885,Sust/Pro-Ind,Ramà
40002018004,ηκουσθη,163,Verbo/A-Pas-Ind-3-Sn,va ser sentit
40002018005,θρηνος,2121,Sust/N-Sn-Ms,lamentació
40002018007,κλαυθμος,2489,Sust/N-Sn-Ms,plor
40002018009,οδυρμος,3059,Sust/N-Sn-Ms,lament/gemegat de plor
40002018010,πολυς,3619,Adj/N-Sn-Ms,molt
40002018011,ραχηλ,N440,Sust/Pro-Ind,Raquel
40002018012,κλαιουσα,2486,Verbo/Pre-Act-Par-N-Sn-Fn,plorant
40002018013,τα,3044,Art-Def/Ac-Pl-Nt,els/les
40002018014,τεκνα,4359,Sust/Ac-Pl-Nt,fills
40002018018,ηθελεν,2080,Verbo/I-Act-Ind-3-Sn,volia/preferia
40002018019,παρακληθηναι,3320,Verbo/A-Pas-Inf,ser consolada
40002018020,οτι,3207,Conj,perquè
40002018022,εισιν,1349,Verbo/Pre-Act-Ind-3-Pl,són/estan sent
40002019001,τελευτησαντος,4369,Verbo/A-Act-Par-GA-Sn-Ms,havent finalitzat/mort/conclòs
40002019014,αιγυπτω,N22,Sust/LID-Sn-Fn,(en/amb/per a/a) Egipte
40002020011,πορευου,3629,Verbo/Pre-MedPasDep-Imp-2-Sn,ves/estigues anant en camí
40002020013,γην,958,Sust/Ac-Sn-Fn,terra
40002020014,ισραηλ,N255,Sust/Pro-Ind,d'Israel
40002020015,τεθνηκασιν,2114,Verbo/Per-Act-Ind-3-Pl,han mort
40002020018,ζητουντες,2002,Verbo/Pre-Act-Par-N-Pl-Ms,buscant
40002020020,ψυχην,4844,Sust/Ac-Sn-Fn,ànima/vida/(ànim)
40002021012,ηλθεν,1874,Verbo/A2-Act-Ind-3-Sn,va venir
40002022004,αρχελαος,N65,Sust/N-Sn-Ms,Arquelau
40002022005,βασιλευει,834,Verbo/Pre-Act-Ind-3-Sn,reina/està regnant
40002022009,αντι,432,Prep,en lloc de (per)
40002022012,πατρος,3410,Sust/GA-Sn-Ms,(de) pare
40002022014,εφοβηθη,4672,Verbo/A-PasDep-Ind-3-Sn,va témer
40002022016,απελθειν,517,Verbo/A2-Act-Inf,anar/venir des de
40002022017,χρηματισθεις,4793,Verbo/A-Pas-Par-N-Sn-Ms,havent estat donat avís /(advertència divina)
40002022024,μερη,2819,Sust/Ac-Pl-Nt,parts
40002022026,γαλιλαιας,N119,Sust/GA-Sn-Fn,(de) Galilea
40002023003,κατωκησεν,2421,Verbo/A-Act-Ind-3-Sn,va residir/habitar
40002023005,πολιν,3608,Sust/Ac-Sn-Fn,ciutat
40002023006,λεγομενην,2663,Verbo/Pre-Pas-Par-ASF,sent anomenada
40002023007,ναζαρετ,N381,Sust/Pro-Ind,Natzaret
